Iteration,Training_Error
823,0.18356902
824,0.15298794
825,0.07016850
826,0.06121146
827,0.06024256
828,0.04329950
829,0.25503217
830,0.11295149
831,0.08099375
832,0.09279261
833,0.07153842
834,0.09543689
835,0.40543977
836,0.44858712
837,0.09230557
838,1.02599453
839,1.03918078
840,1.03708867
841,0.03332538
842,0.04634317
843,0.03856811
844,0.09524755
845,0.11121526
846,0.10170088
847,0.17841548
848,0.14801035
849,0.06847334
850,0.05896893
851,0.05822741
852,0.04212167
853,0.24424095
854,0.10832272
855,0.07831066
856,0.08989734
857,0.06895594
858,0.09314136
859,0.38046432
860,0.42315748
861,0.08820435
862,1.02328368
863,1.03609393
864,1.03309377
865,0.03212618
866,0.04476256
867,0.03708509
868,0.09353894
869,0.10727573
870,0.09987894
871,0.17331637
872,0.14328422
873,0.06678671
874,0.05686773
875,0.05637127
876,0.04099442
877,0.23404295
878,0.10407429
879,0.07578613
880,0.08709796
881,0.06645856
882,0.09091118
883,0.35760792
884,0.39978609
885,0.08444973
886,1.02063306
887,1.03304046
888,1.02912481
889,0.03105181
890,0.04333554
891,0.03573737
892,0.09170440
893,0.10349709
894,0.09791336
895,0.16829163
896,0.13878867
897,0.06511439
898,0.05489530
899,0.05465925
900,0.03991795
901,0.22441478
902,0.10015653
903,0.07340655
904,0.08439927
905,0.06405493
906,0.08874619
907,0.33670580
908,0.37829879
909,0.08099230
910,1.01802695
911,1.03002308
912,1.02517039
913,0.03009140
914,0.04205325
915,0.03451202
916,0.08978105
917,0.09987676
918,0.09584195
919,0.16335939
920,0.13450663
921,0.06346270
922,0.05304089
923,0.05307862
924,0.03889184
925,0.21533333
926,0.09652825
927,0.07116080
928,0.08180409
929,0.06175076
930,0.08664597
931,0.31758841
932,0.35852428
933,0.07779305
934,1.01544614
935,1.02703649
936,1.02121262
937,0.02923567
938,0.04090771
939,0.03339785
940,0.08780213
941,0.09641262
942,0.09369929
943,0.15853518
944,0.13042385
945,0.06183792
946,0.05129517
947,0.05161850
948,0.03791519
949,0.20677463
950,0.09315505
951,0.06903963
952,0.07931350
953,0.05954914
954,0.08460991
955,0.30008995
956,0.34030077
957,0.07482081
958,1.01286858
959,1.02406895
960,1.01722749
961,0.02847691
962,0.03989206
963,0.03238531
964,0.08579612
965,0.09310246
966,0.09151556
967,0.15383179
968,0.12652814
969,0.06024594
970,0.04965001
971,0.05026960
972,0.03698673
973,0.19871360
974,0.09000805
975,0.06703523
976,0.07692715
977,0.05745098
978,0.08263727
979,0.28405343
980,0.32347917
981,0.07205031
982,1.01026967
983,1.02110354
984,1.01318490
985,0.02780898
986,0.03900073
987,0.03146641
988,0.08378670
989,0.08994369
990,0.08931626
991,0.14925928
992,0.12280883
993,0.05869209
994,0.04809830
995,0.04902413
996,0.03610500
997,0.19112424
998,0.08706284
999,0.06514101
1000,0.07464367
1001,0.05545549
1002,0.08072719
1003,0.26933340
1004,0.30792414
1005,0.06946078
1006,1.00762207
1007,1.01811872
1008,1.00904821
1009,0.02722733
1010,0.03822970
1011,0.03063472
1012,0.08179312
1013,0.08693344
1014,0.08712242
1015,0.14482520
1016,0.11925643
1017,0.05718110
1018,0.04663380
1019,0.04787568
1020,0.03526846
1021,0.18398006
1022,0.08429868
1023,0.06335138
1024,0.07246093
1025,0.05356064
1026,0.07887873
1027,0.25579702
1028,0.29351402
1029,0.06703486
1030,1.00489512
1031,1.01508849
1032,1.00477333
1033,0.02672907
1034,0.03757670
1035,0.02988527
1036,0.07983076
1037,0.08406856
1038,0.08495103
1039,0.14053486
1040,0.11586233
1041,0.05571711
1042,0.04525110
1043,0.04681919
1044,0.03447559
1045,0.17725454
1046,0.08169786
1047,0.06166165
1048,0.07037630
1049,0.05176354
1050,0.07709085
1051,0.24332419
1052,0.28014001
1053,0.06475785
1054,1.00205381
1055,1.01198187
1056,1.00030706
1057,0.02631305
1058,0.03704158
1059,0.02921465
1060,0.07791180
1061,0.08134581
1062,0.08281566
1063,0.13639165
1064,0.11261864
1065,0.05430375
1066,0.04394555
1067,0.04585094
1068,0.03372507
1069,0.17092162
1070,0.07924518
1071,0.06006801
1072,0.06838693
1073,0.05006075
1074,0.07536249
1075,0.23180706
1076,0.26770507
1077,0.06261717
1078,0.99905730
1079,1.00876192
1080,0.99558453
1081,0.02598014
1082,0.03662670
1083,0.02862106
1084,0.07604584
1085,0.07876206
1086,0.08072701
1087,0.13239730
1088,0.10951806
1089,0.05294430
1090,0.04271321
1091,0.04496867
1092,0.03301578
1093,0.16495608
1094,0.07692752
1095,0.05856752
1096,0.06648992
1097,0.04844863
1098,0.07369254
1099,0.22114916
1100,0.25612283
1101,0.06060193
1102,0.99585672
1103,1.00538390
1104,0.99052547
1105,0.02573351
1106,0.03633747
1107,0.02810448
1108,0.07424052
1109,0.07631448
1110,0.07869356
1111,0.12855225
1112,0.10655380
1113,0.05164180
1114,0.04155089
1115,0.04417168
1116,0.03234698
1117,0.15933381
1118,0.07473355
1119,0.05715824
1120,0.06468255
1121,0.04692348
1122,0.07207989
1123,0.21126440
1124,0.24531635
1125,0.05870266
1126,0.99239218
1127,1.00179267
1128,0.98502864
1129,0.02557924
1130,0.03618325
1131,0.02766703
1132,0.07250213
1133,0.07400084
1134,0.07672208
1135,0.12485588
1136,0.10371957
1137,0.05039934
1138,0.04045621
1139,0.04346114
1140,0.03171840
1141,0.15403211
1142,0.07265346
1143,0.05583933
1144,0.06296245
1145,0.04548186
1146,0.07052352
1147,0.20207603
1148,0.23521715
1149,0.05691112
1150,0.98858841
1151,0.99791864
1152,0.97896379
1153,0.02552716
1154,0.03617854
1155,0.02731350
1156,0.07083617
1157,0.07181979
1158,0.07481829
1159,0.12130681
1160,0.10100954
1161,0.04922025
1162,0.03942769
1163,0.04284049
1164,0.03113039
1165,0.14902984
1166,0.07067878
1167,0.05461137
1168,0.06132784
1169,0.04412068
1170,0.06902252
1171,0.19351553
1172,0.22576416
1173,0.05522014
1174,0.98434849
1175,0.99367185
1176,0.97215953
1177,0.02559219
1178,0.03634486
1179,0.02705218
1180,0.06924798
1181,0.06977137
1182,0.07298738
1183,0.11790320
1184,0.09841841
1185,0.04810850
1186,0.03846495
1187,0.04231611
1188,0.03058413
1189,0.14430759
1190,0.06880227
1191,0.05347675
1192,0.05977783
1193,0.04283751
1194,0.06757621
1195,0.18552171
1196,0.21690299
1197,0.05362356
1198,0.97954455
1199,0.98893290
1200,0.96438494
1201,0.02579651
1202,0.03671361
1203,0.02689626
1204,0.06774341
1205,0.06785752
1206,0.07123472
1207,0.11464301
1208,0.09594146
1209,0.04706916
1210,0.03756906
1211,0.04189836
1212,0.03008200
1213,0.13984788
1214,0.06701788
1215,0.05244031
1216,0.05831281
1217,0.04163085
1218,0.06618424
1219,0.17803969
1220,0.20858515
1221,0.05211625
1222,0.97400357
1223,0.98353894
1224,0.95532082
1225,0.02617301
1226,0.03733069
1227,0.02686615
1228,0.06632977
1229,0.06608312
1230,0.06956674
1231,0.11152439
1232,0.09357473
1233,0.04610913
1234,0.03674305
1235,0.04160320
1236,0.02962801
1237,0.13563544
1238,0.06532082
1239,0.05151039
1240,0.05693506
1241,0.04050051
1242,0.06484683
1243,0.17102009
1244,0.20076756
1245,0.05069415
1246,0.96748519
1247,0.97726112
1248,0.94451367
1249,0.02677105
1250,0.03826388
1251,0.02699317
1252,0.06501713
1253,0.06445728
1254,0.06799219
1255,0.10854611
1256,0.09131523
1257,0.04523817
1258,0.03599282
1259,0.04145489
1260,0.02922869
1261,0.13165758
1262,0.06370770
1263,0.05070051
1264,0.05564972
1265,0.03944831
1266,0.06356495
1267,0.16441826
1268,0.19341212
1269,0.04935450
1270,0.95964599
1271,0.96976742
1272,0.93129969
1273,0.02766636
1274,0.03961534
1275,0.02732624
1276,0.06382038
1277,0.06299580
1278,0.06652410
1279,0.10570820
1280,0.08916144
1281,0.04447060
1282,0.03532869
1283,0.04149032
1284,0.02889437
1285,0.12790496
1286,0.06217701
1287,0.05003216
1288,0.05446639
1289,0.03847912
1290,0.06234082
1291,0.15819360
1292,0.18648555
1293,0.04809622
1294,0.94998007
1295,0.96055886
1296,0.91467558
1297,0.02897866
1298,0.04154315
1299,0.02794348
1300,0.06276275
1301,0.06172497
1302,0.06518315
1303,0.10301306
1304,0.08711418
1305,0.04382814
1306,0.03476803
1307,0.04176647
1308,0.02864151
1309,0.12437289
1310,0.06072983
1311,0.04953958
1312,0.05340191
1313,0.03760272
1314,0.06117855
1315,0.15230900
1316,0.17995953
1317,0.04692062
1318,0.93771738
1319,0.94885576
1320,0.89307319
1321,0.03090416
1322,0.04429967
1323,0.02897401
1324,0.06188221
1325,0.06068848
1326,0.06400371
1327,0.10046730
1328,0.08517818
1329,0.04334463
1330,0.03434002
1331,0.04237329
1332,0.02849673
1333,0.12106370
1334,0.05937135
1335,0.04927819
1336,0.05248525
1337,0.03683720
1338,0.06008529
1339,0.14673068
1340,0.17381121
1341,0.04583271
1342,0.92164544
1343,0.93338770
1344,0.86396176
1345,0.03377744
1346,0.04830088
